path,bytes,sha256,license,source
sesler/cajon/201.wav,47796,ca0072b021e4f16443d32b5ea1aab7baf32b3b40ae9ff244376fb37cecb83392,CC0 1.0,Freesound bendir_basicStrokes (Bendir) / FreePats World Percussion 2020-09-05 (all others)
sesler/cajon/202.wav,55214,39e990f83da188738fd6ff73a766b368da510c4e582f701095ef235b620db79e,CC0 1.0,Freesound bendir_basicStrokes (Bendir) / FreePats World Percussion 2020-09-05 (all others)
sesler/cajon/203.wav,54014,b10d5ddd1a30cdf2a7ae747be2f26778f949ee137fc165bb0b81b3bb030b6250,CC0 1.0,Freesound bendir_basicStrokes (Bendir) / FreePats World Percussion 2020-09-05 (all others)
sesler/cajon/204.wav,50724,e4c078e7d94e2e98bc3a980e415e1136704b33270653f0edaa1949e0e36162c4,CC0 1.0,Freesound bendir_basicStrokes (Bendir) / FreePats World Percussion 2020-09-05 (all others)
sesler/cajon/205.wav,49992,e5c40c1d0202ffe274ea7e20562760ea62cc28b6a0b4842834f5f5a8c9fdaee4,CC0 1.0,Freesound bendir_basicStrokes (Bendir) / FreePats World Percussion 2020-09-05 (all others)
sesler/cajon/206.wav,56468,47d4796a6d92f43b38c27f304bac8e21762fd2c445075a31a57e72de49e6cc21,CC0 1.0,Freesound bendir_basicStrokes (Bendir) / FreePats World Percussion 2020-09-05 (all others)
sesler/cajon/207.wav,43512,004b227bbb2b8ad0662aea7a8d3c0d3daf0200b0cd3cb8148b9cc4a2709237cc,CC0 1.0,Freesound bendir_basicStrokes (Bendir) / FreePats World Percussion 2020-09-05 (all others)
sesler/cajon/208.wav,51872,c27240fb6eeceaf4ee353161f7b748a3eaa4d1347587976a702bbbbd0cf0e1e7,CC0 1.0,Freesound bendir_basicStrokes (Bendir) / FreePats World Percussion 2020-09-05 (all others)
sesler/cajon/209.wav,56262,772b930b3bfddb4242cc5de6f8a3bfbe02fa43e17086bb1173a46a8fac678736,CC0 1.0,Freesound bendir_basicStrokes (Bendir) / FreePats World Percussion 2020-09-05 (all others)
sesler/cajon/210.wav,53648,0a1e899d6b51b7f4eea74c02b7c9d0c05c766859764aa8133be73a13af2189c3,CC0 1.0,Freesound bendir_basicStrokes (Bendir) / FreePats World Percussion 2020-09-05 (all others)
sesler/cajon/211.wav,47378,dce3eee5d833891d56f86050a8faa2c0dfff302f5e3422e0999aab0013a371ba,CC0 1.0,Freesound bendir_basicStrokes (Bendir) / FreePats World Percussion 2020-09-05 (all others)
sesler/cajon/212.wav,44138,24c121efa86ca556ae76b1cda900430cfc9bd72fc4e4e763abb6ee59b3538205,CC0 1.0,Freesound bendir_basicStrokes (Bendir) / FreePats World Percussion 2020-09-05 (all others)
sesler/cajon/214.wav,43094,10077faf9c5a3949634f7dc995d936f6a50f6f03b75ec2cac8556b0b11fcc0dc,CC0 1.0,Freesound bendir_basicStrokes (Bendir) / FreePats World Percussion 2020-09-05 (all others)
sesler/cajon/216.wav,55320,a233a9d6bbd048ec42b6f40cd40ef0003d5bca1134d8f663ff40b6d2e79cb69c,CC0 1.0,Freesound bendir_basicStrokes (Bendir) / FreePats World Percussion 2020-09-05 (all others)
sesler/cajon/217.wav,41946,cb49e3b891ee4525157aaf8d7aeae3ec37c1ab959b7ab7a4926c561dcac83093,CC0 1.0,Freesound bendir_basicStrokes (Bendir) / FreePats World Percussion 2020-09-05 (all others)
sesler/cajon/218.wav,50460,fe903287e1605519549e1b8331e86e986a1aec520c986b43d6912ac589530295,CC0 1.0,Freesound bendir_basicStrokes (Bendir) / FreePats World Percussion 2020-09-05 (all others)
sesler/cajon/219.wav,57512,688c51a26fdbbd47dd0db52b246fa7c97bec8423fd948345595343053f6c3e62,CC0 1.0,Freesound bendir_basicStrokes (Bendir) / FreePats World Percussion 2020-09-05 (all others)
sesler/cajon/220.wav,29916,53a6785ca3d0d7804e5ae85cce42590d632a845a72d5f2d93adb69b4cd0e2ea0,CC0 1.0,Freesound bendir_basicStrokes (Bendir) / FreePats World Percussion 2020-09-05 (all others)
sesler/cajon/221.wav,51558,ce0039c9f19f36023b369975e6352d6d44f3c4aea04315c6bea614843e5ebddd,CC0 1.0,Freesound bendir_basicStrokes (Bendir) / FreePats World Percussion 2020-09-05 (all others)
sesler/cajon/222.wav,70368,f7a9ad9438ba804b68d4f5ca98eaed83ed7f4d496c9359cb3ac32a451bbbdc56,CC0 1.0,Freesound bendir_basicStrokes (Bendir) / FreePats World Percussion 2020-09-05 (all others)
